GALERIA I,0.5,10,2.5,10,2.5,10.5,6,10.5,6,12,0.5,12
GALERIA II,0.5,6,2.5,6,2.5,10,0.5,10
GALERIA III,2.5,6,6,6,6,7.5,2.5,7.5
GALERIA IV,7,8.5,9,8.5,9,12,7,12
GALERIA V,7,6,9,6,9,8.5,7,8.5
GALERIA VI,0.5,1.5,2.5,1.5,2.5,5.5,0.5,5.5
SALA,2.5,1.5,6,1.5,6,2.5,2.5,2.5

